Region;Vitesse maximale du vent;Temperatures les plus chaudes;Heures d'ensoleillement;Temperatures les plus froides;Hauteur des precipitations;Date
Bourgogne-Franche-Comté;103;36;1758;-9;1029;2016
Auvergne-Rhône-Alpes;116;37;1773;-10;943;2016
Bretagne;140;38;1667;-6;763;2016
Centre-Val de Loire;112;38;1774;-8;700;2016
Corse;133;36;2471;-2;668;2016
Grand-Est;111;55;2480;-16;1190;2016
Hauts-de-France;112;36;1636;-8;779;2016
Ile-de-France;97;37;1667;-8;645;2016
Normandie;128;37;1654;-7;706;2016
Nouvelle-Aquitaine;115;39;1950;-8;856;2016
Occitanie;149;38;2135;-9;818;2016
Pays de la Loire;130;38;1839;-6;714;2016
Provence-Alpes-Côte d Azur;122;37;2725;-10;564;2016
Bourgogne-Franche-Comté;101;36;1979;-14;811;2017
Auvergne-Rhône-Alpes;135;38;2109;-14;780;2017
Bretagne;191;35;1707;-8;749;2017
Centre-Val de Loire;122;37;1902;-11;614;2017
Corse;133;38;3047;-3;585;2017
Grand-Est;107;36;1862;-14;680;2017
Hauts-de-France;115;36;1619;-8;719;2017
Ile-de-France;112;37;1594;-8;667;2017
Normandie;134;36;1650;-10;783;2017
Nouvelle-Aquitaine;123;37;1913;-12;791;2017
Occitanie;151;40;2376;-12;670;2017
Pays de la Loire;137;38;1886;-9;656;2017
Provence-Alpes-Côte d Azur;130;42;2886;-10;393;2017
Bourgogne-Franche-Comté;117;38;1999;-14;850;2018
Auvergne-Rhône-Alpes;110;38;2034;-14;863;2018
Bretagne;148;35;1940;-7;779;2018
Centre-Val de Loire;112;37;1806;-14;728;2018
Corse;137;36;2336;-1;946;2018
Grand-Est;118;37;1986;-13;692;2018
Hauts-de-France;125;38;1790;-9;686;2018
Ile-de-France;115;38;1986;-9;675;2018
Normandie;137;35;1808;-10;784;2018
Nouvelle-Aquitaine;112;37;2072;-13;902;2018
Occitanie;148;39;2164;-14;1095;2018
Pays de la Loire;119;36;2034;-14;914;2018
Provence-Alpes-Côte d Azur;133;39;2448;-10;988;2018
Bourgogne-Franche-Comté;150;41;2116;-8;850;2019
Auvergne-Rhône-Alpes;119;42;2129;-8;825;2019
Bretagne;151;40;1883;-4;927;2019
Centre-Val de Loire;112;42;2112;-10;665;2019
Corse;169;40;2894;-1;767;2019
Grand-Est;108;40;2004;-9;681;2019
Hauts-de-France;117;42;1747;-7;758;2019
Ile-de-France;108;43;1862;-5;656;2019
Normandie;123;41;1698;-6;792;2019
Nouvelle-Aquitaine;120;41;2130;-7;948;2019
Occitanie;161;43;2390;-9;864;2019
Pays de la Loire;137;41;2013;-8;792;2019
Provence-Alpes-Côte d Azur;137;43;2710;-10;796;2019